1aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
1antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
4bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
1bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
1boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
1buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
1calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
4carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
4catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
1cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
1cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
2chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
4chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
7clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
7crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
7crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
2crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
1deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
4dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
1dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
2dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
2duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
1elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
2flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
6flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
5frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
5frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
1fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
1giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
1girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
6gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
1goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
1gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
2gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
4haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
1hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
1hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
2hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
4herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
6honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6
6housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
2kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
6ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
2lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
1leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
1lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
7lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
1lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
1mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
1mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
1mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
6moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
5newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
7octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7
1opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
1oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
2ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
2parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
2penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
2pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
4pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
4piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
3pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
1platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
1polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
1pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
1porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
1puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
1pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
1raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
1reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
2rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2
7scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
4seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
1seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
1sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
3seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3
7seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7
2skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
2skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
3slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
7slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
4sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
2sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
1squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
7starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
4stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
2swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
